customerid,Recency,Tenure,Frequency,Monetary,AOV,churn,transaction_id,gender,location,tenure_months,transaction_date,product_sku,product_description,product_category,quantity,avg_price,delivery_charges,coupon_status,gst,offline_spend,online_spend,coupon_code,discount_pct,Month,CohortMonth,CohortIndex
12370,64,30,1,4302,179.25,1,31176,F,New York,21,2019-06-25,GGOEGAAB058916,Google Men's Short Sleeve Performance Badge Tee Black,Apparel,1,12,12.99,Clicked,0.18,1500,956,SALE30,30.00,2019-06-01,2019-05-01,2
12370,64,30,1,4302,179.25,1,31178,F,New York,21,2019-06-25,GGOEGHGR019499,Google Sunglasses,Lifestyle,10,2,6.50,Clicked,0.18,1500,956,EXTRA30,30.00,2019-06-01,2019-05-01,2
12370,64,30,1,4302,179.25,1,28949,F,New York,21,2019-05-26,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1,119,6.00,Clicked,0.10,1000,2752,ELEC20,20.00,2019-05-01,2019-05-01,1
12370,64,30,1,4302,179.25,1,28952,F,New York,21,2019-05-26,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,149,6.00,Clicked,0.10,1000,2752,ELEC20,20.00,2019-05-01,2019-05-01,1
12370,64,30,1,4302,179.25,1,28954,F,New York,21,2019-05-26,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,1,119,6.00,Not Used,0.10,1000,2752,ELEC20,20.00,2019-05-01,2019-05-01,1
12370,64,30,1,4302,179.25,1,28955,F,New York,21,2019-05-26,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,2,119,6.00,Used,0.10,1000,2752,ELEC20,20.00,2019-05-01,2019-05-01,1
12370,64,30,1,4302,179.25,1,28959,F,New York,21,2019-05-26,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,149,6.00,Clicked,0.10,1000,2752,ELEC20,20.00,2019-05-01,2019-05-01,1
12370,64,30,1,4302,179.25,1,28966,F,New York,21,2019-05-26,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1,119,6.00,Clicked,0.10,1000,2752,ELEC20,20.00,2019-05-01,2019-05-01,1
12370,64,30,1,4302,179.25,1,28974,F,New York,21,2019-05-26,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1,119,6.00,Used,0.10,1000,2752,ELEC20,20.00,2019-05-01,2019-05-01,1
12370,64,30,1,4302,179.25,1,28980,F,New York,21,2019-05-26,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1,119,6.00,Clicked,0.10,1000,2752,ELEC20,20.00,2019-05-01,2019-05-01,1
12370,64,30,1,4302,179.25,1,28981,F,New York,21,2019-05-26,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,149,6.00,Clicked,0.10,1000,2752,ELEC20,20.00,2019-05-01,2019-05-01,1
12370,64,30,1,4302,179.25,1,28983,F,New York,21,2019-05-26,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,1,119,6.00,Clicked,0.10,1000,2752,ELEC20,20.00,2019-05-01,2019-05-01,1
12370,64,30,1,4302,179.25,1,28984,F,New York,21,2019-05-26,GGOENEBQ079099,Nest Protect Smoke + CO White Battery Alarm-USA,Nest-USA,2,79,6.00,Used,0.10,1000,2752,ELEC20,20.00,2019-05-01,2019-05-01,1
12370,64,30,1,4302,179.25,1,28987,F,New York,21,2019-05-26,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,149,6.00,Clicked,0.10,1000,2752,ELEC20,20.00,2019-05-01,2019-05-01,1
12370,64,30,1,4302,179.25,1,28992,F,New York,21,2019-05-26,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,3,119,12.99,Clicked,0.10,1000,2752,ELEC20,20.00,2019-05-01,2019-05-01,1
12370,64,30,1,4302,179.25,1,28993,F,New York,21,2019-05-26,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,1,119,6.00,Clicked,0.10,1000,2752,ELEC20,20.00,2019-05-01,2019-05-01,1
12370,64,30,1,4302,179.25,1,28973,F,New York,21,2019-05-26,GGOEGBMC056599,Waterproof Gear Bag,Office,1,63,26.43,Not Used,0.10,1000,2752,OFF20,20.00,2019-05-01,2019-05-01,1
12370,64,30,1,4302,179.25,1,28978,F,New York,21,2019-05-26,GGOEYFKQ020699,YouTube Custom Decals,Office,5,1,12.99,Used,0.10,1000,2752,OFF20,20.00,2019-05-01,2019-05-01,1
12370,64,30,1,4302,179.25,1,28956,F,New York,21,2019-05-26,GGOEGDHC018299,Google 22 oz Water Bottle,Drinkware,5,2,6.00,Clicked,0.18,1000,2752,EXTRA20,20.00,2019-05-01,2019-05-01,1
12370,64,30,1,4302,179.25,1,28953,F,New York,21,2019-05-26,GGOEGAWQ062948,Google Baby Essentials Set,Apparel,1,27,6.00,Used,0.18,1000,2752,SALE20,20.00,2019-05-01,2019-05-01,1
12370,64,30,1,4302,179.25,1,28958,F,New York,21,2019-05-26,GGOEGAAJ080613,Google Men's Bike Short Sleeve Tee Charcoal,Apparel,1,15,6.00,Used,0.18,1000,2752,SALE20,20.00,2019-05-01,2019-05-01,1
12370,64,30,1,4302,179.25,1,28962,F,New York,21,2019-05-26,GGOEGAFB035814,Google Men's  Zip Hoodie,Apparel,1,44,6.00,Not Used,0.18,1000,2752,SALE20,20.00,2019-05-01,2019-05-01,1
12370,64,30,1,4302,179.25,1,28968,F,New York,21,2019-05-26,GGOEGAWQ062953,Google Baby Essentials Set,Apparel,1,27,6.00,Clicked,0.18,1000,2752,SALE20,20.00,2019-05-01,2019-05-01,1
12370,64,30,1,4302,179.25,1,28975,F,New York,21,2019-05-26,GGOEGAAB010515,Google Men's 100% Cotton Short Sleeve Hero Tee Black,Apparel,1,16,6.00,Clicked,0.18,1000,2752,SALE20,20.00,2019-05-01,2019-05-01,1
12370,64,30,1,4302,179.25,1,28976,F,New York,21,2019-05-26,GGOEGAWN062749,Google Infant Zip Hood Pink,Apparel,1,30,6.00,Clicked,0.18,1000,2752,SALE20,20.00,2019-05-01,2019-05-01,1
12370,64,30,1,4302,179.25,1,28989,F,New York,21,2019-05-26,GGOEGALP034314,Google Women's Vintage Hero Tee Lavender,Apparel,1,10,6.00,Used,0.18,1000,2752,SALE20,20.00,2019-05-01,2019-05-01,1
12370,64,30,1,4302,179.25,1,28972,F,New York,21,2019-05-26,GGOEGBRJ037399,Google Rucksack,Bags,1,55,6.00,Clicked,0.18,1000,2752,AIO20,20.00,2019-05-01,2019-05-01,1
12370,64,30,1,4302,179.25,1,28951,F,New York,21,2019-05-26,GGOEGDHC074099,Google 17oz Stainless Steel Sport Bottle,Drinkware,1,15,6.00,Not Used,0.18,1000,2752,EXTRA20,20.00,2019-05-01,2019-05-01,1
12370,64,30,1,4302,179.25,1,28948,F,New York,21,2019-05-26,GGOEGHGT019599,Google Sunglasses,Lifestyle,20,2,12.48,Used,0.18,1000,2752,EXTRA20,20.00,2019-05-01,2019-05-01,1
12370,64,30,1,4302,179.25,1,28967,F,New York,21,2019-05-26,GGOEGPJC019099,7&quot; Dog Frisbee,Lifestyle,1,1,6.00,Used,0.18,1000,2752,EXTRA20,20.00,2019-05-01,2019-05-01,1
12370,64,30,1,4302,179.25,1,28970,F,New York,21,2019-05-26,GGOEGHGC019799,Google Sunglasses,Lifestyle,1,2,6.00,Clicked,0.18,1000,2752,EXTRA20,20.00,2019-05-01,2019-05-01,1
12370,64,30,1,4302,179.25,1,28971,F,New York,21,2019-05-26,GGOEGPJR018999,7&quot; Dog Frisbee,Lifestyle,3,1,6.00,Used,0.18,1000,2752,EXTRA20,20.00,2019-05-01,2019-05-01,1
12370,64,30,1,4302,179.25,1,28977,F,New York,21,2019-05-26,GGOEGPJC019099,7&quot; Dog Frisbee,Lifestyle,20,1,6.00,Clicked,0.18,1000,2752,EXTRA20,20.00,2019-05-01,2019-05-01,1
12370,64,30,1,4302,179.25,1,28947,F,New York,21,2019-05-26,GGOEGDHJ082599,Google 17 oz Double Wall Stainless Steel Insulated Bottle,Google,1,19,6.00,Used,0.10,1000,2752,0,0,2019-05-01,2019-05-01,1
12370,64,30,1,4302,179.25,1,28982,F,New York,21,2019-05-26,GGOEGOCB078299,Google Leather Journal-Black,Notebooks & Journals,1,18,6.00,Not Used,0.05,1000,2752,NJ20,20.00,2019-05-01,2019-05-01,1
12370,64,30,1,4302,179.25,1,28988,F,New York,21,2019-05-26,GGOEGOCR078499,Google Spiral Leather Journal,Notebooks & Journals,60,13,27.32,Clicked,0.05,1000,2752,NJ20,20.00,2019-05-01,2019-05-01,1
12370,64,30,1,4302,179.25,1,28964,F,New York,21,2019-05-26,GGOENEBJ081899,Nest Learning Thermostat 3rd Gen - CA - Stainless Steel,Nest-Canada,1,199,8.70,Clicked,0.10,1000,2752,NCA20,20.00,2019-05-01,2019-05-01,1
12370,64,30,1,4302,179.25,1,28965,F,New York,21,2019-05-26,GGOENEBB081499,Nest Cam Indoor Security Camera - CA,Nest-Canada,1,149,8.70,Clicked,0.10,1000,2752,NCA20,20.00,2019-05-01,2019-05-01,1
12370,64,30,1,4302,179.25,1,28969,F,New York,21,2019-05-26,GGOENEBQ081599,Nest Cam Outdoor Security Camera - CA,Nest-Canada,1,149,8.70,Clicked,0.10,1000,2752,NCA20,20.00,2019-05-01,2019-05-01,1
12370,64,30,1,4302,179.25,1,28990,F,New York,21,2019-05-26,GGOEADHH055999,22 oz Android Bottle,Bottles,1,2,6.00,Not Used,0.05,1000,2752,BT20,20.00,2019-05-01,2019-05-01,1
12377,54,0,1,1468,133.45,1,31902,F,California,27,2019-07-05,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1,119,6.00,Used,0.10,2000,2103,ELEC10,10.00,2019-07-01,2019-07-01,1
12377,54,0,1,1468,133.45,1,31903,F,California,27,2019-07-05,GGOENEBQ079099,Nest Protect Smoke + CO White Battery Alarm-USA,Nest-USA,3,79,6.00,Clicked,0.10,2000,2103,ELEC10,10.00,2019-07-01,2019-07-01,1
12377,54,0,1,1468,133.45,1,31906,F,California,27,2019-07-05,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1,119,6.00,Used,0.10,2000,2103,ELEC10,10.00,2019-07-01,2019-07-01,1
12377,54,0,1,1468,133.45,1,31910,F,California,27,2019-07-05,GGOENEBQ079099,Nest Protect Smoke + CO White Battery Alarm-USA,Nest-USA,3,79,6.00,Not Used,0.10,2000,2103,ELEC10,10.00,2019-07-01,2019-07-01,1
12377,54,0,1,1468,133.45,1,31911,F,California,27,2019-07-05,GGOENEBQ084699,Nest Learning Thermostat 3rd Gen-USA - White,Nest-USA,2,149,6.00,Not Used,0.10,2000,2103,ELEC10,10.00,2019-07-01,2019-07-01,1
12377,54,0,1,1468,133.45,1,31914,F,California,27,2019-07-05,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,2,119,6.00,Clicked,0.10,2000,2103,ELEC10,10.00,2019-07-01,2019-07-01,1
12377,54,0,1,1468,133.45,1,31908,F,California,27,2019-07-05,GGOEGBMC056599,Waterproof Gear Bag,Office,1,63,6.00,Not Used,0.10,2000,2103,OFF10,10.00,2019-07-01,2019-07-01,1
12377,54,0,1,1468,133.45,1,31905,F,California,27,2019-07-05,GGOEGALP034316,Google Women's Vintage Hero Tee Lavender,Apparel,1,10,6.00,Clicked,0.18,2000,2103,SALE10,10.00,2019-07-01,2019-07-01,1
12377,54,0,1,1468,133.45,1,31913,F,California,27,2019-07-05,GGOEYAAQ031716,YouTube Men's Short Sleeve Hero Tee White,Apparel,1,13,6.00,Clicked,0.18,2000,2103,SALE10,10.00,2019-07-01,2019-07-01,1
12377,54,0,1,1468,133.45,1,31915,F,California,27,2019-07-05,GGOEGALB034113,Google Women's Vintage Hero Tee Black,Apparel,1,13,6.00,Used,0.18,2000,2103,SALE10,10.00,2019-07-01,2019-07-01,1
12377,54,0,1,1468,133.45,1,31917,F,California,27,2019-07-05,GGOEGAAJ059114,Google Men's Short Sleeve Performance Badge Tee Pewter,Apparel,1,12,6.50,Clicked,0.18,2000,2103,SALE10,10.00,2019-07-01,2019-07-01,1
12377,54,0,1,1468,133.45,1,31918,F,California,27,2019-07-05,GGOEGAAH034015,Google Men's Vintage Badge Tee Sage,Apparel,1,10,19.99,Clicked,0.18,2000,2103,SALE10,10.00,2019-07-01,2019-07-01,1
12377,54,0,1,1468,133.45,1,31907,F,California,27,2019-07-05,GGOEGBJL013999,Google Canvas Tote Natural/Navy,Bags,1,15,6.00,Clicked,0.18,2000,2103,AIO10,10.00,2019-07-01,2019-07-01,1
12377,54,0,1,1468,133.45,1,31909,F,California,27,2019-07-05,GGOEGDHR018499,Google 22 oz Water Bottle,Drinkware,1,2,6.00,Clicked,0.18,2000,2103,EXTRA10,10.00,2019-07-01,2019-07-01,1
12377,54,0,1,1468,133.45,1,31904,F,California,27,2019-07-05,GGOEGHGH019699,Google Sunglasses,Lifestyle,6,2,26.43,Used,0.18,2000,2103,EXTRA10,10.00,2019-07-01,2019-07-01,1
12377,54,0,1,1468,133.45,1,31912,F,California,27,2019-07-05,GGOEGHGT019599,Google Sunglasses,Lifestyle,35,2,30.59,Not Used,0.18,2000,2103,EXTRA10,10.00,2019-07-01,2019-07-01,1
12383,4,42,1,2939,146.95,0,36509,M,New York,32,2019-08-24,GGOEGAEJ031316,Google Tri-blend Hoodie Grey,Apparel,1,31,12.99,Clicked,0.18,2500,2168,SALE20,20.00,2019-08-01,2019-07-01,2
12383,4,42,1,2939,146.95,0,36514,M,New York,32,2019-08-24,GGOEGALL074613,Google Women's Short Sleeve Badge Tee Navy,Apparel,3,6,6.00,Not Used,0.18,2500,2168,SALE20,20.00,2019-08-01,2019-07-01,2
12383,4,42,1,2939,146.95,0,36515,M,New York,32,2019-08-24,GGOEGAWR061848,Google Infant Short Sleeve Tee Red,Apparel,1,13,6.00,Clicked,0.18,2500,2168,SALE20,20.00,2019-08-01,2019-07-01,2
12383,4,42,1,2939,146.95,0,36516,M,New York,32,2019-08-24,GGOEGAAQ010416,Google Men's 100% Cotton Short Sleeve Hero Tee White,Apparel,1,13,6.50,Clicked,0.18,2500,2168,SALE20,20.00,2019-08-01,2019-07-01,2
12383,4,42,1,2939,146.95,0,36517,M,New York,32,2019-08-24,GGOEGALL074613,Google Women's Short Sleeve Badge Tee Navy,Apparel,1,6,6.50,Used,0.18,2500,2168,SALE20,20.00,2019-08-01,2019-07-01,2
12383,4,42,1,2939,146.95,0,36518,M,New York,32,2019-08-24,GGOEYAYR068624,YouTube Youth Short Sleeve Tee Red,Apparel,1,15,19.99,Not Used,0.18,2500,2168,SALE20,20.00,2019-08-01,2019-07-01,2
12383,4,42,1,2939,146.95,0,36519,M,New York,32,2019-08-24,GGOEGALQ036614,Google Women's Scoop Neck Tee White,Apparel,1,4,6.00,Clicked,0.18,2500,2168,SALE20,20.00,2019-08-01,2019-07-01,2
12383,4,42,1,2939,146.95,0,36520,M,New York,32,2019-08-24,GGOEGAAQ010415,Google Men's 100% Cotton Short Sleeve Hero Tee White,Apparel,1,16,6.00,Clicked,0.18,2500,2168,SALE20,20.00,2019-08-01,2019-07-01,2
12383,4,42,1,2939,146.95,0,36522,M,New York,32,2019-08-24,GGOEGAFB035814,Google Men's  Zip Hoodie,Apparel,1,44,6.00,Clicked,0.18,2500,2168,SALE20,20.00,2019-08-01,2019-07-01,2
12383,4,42,1,2939,146.95,0,36511,M,New York,32,2019-08-24,GGOEGBRB079599,25L Classic Rucksack,Backpacks,2,99,19.99,Not Used,0.10,2500,2168,0,0,2019-08-01,2019-07-01,2
12383,4,42,1,2939,146.95,0,36512,M,New York,32,2019-08-24,GGOEWEBB082699,Waze Mobile Phone Vent Mount,Waze,1,6,6.00,Clicked,0.18,2500,2168,WEMP20,20.00,2019-08-01,2019-07-01,2
12383,4,42,1,2939,146.95,0,36513,M,New York,32,2019-08-24,GGOEWEBB082699,Waze Mobile Phone Vent Mount,Waze,2,6,6.00,Clicked,0.18,2500,2168,WEMP20,20.00,2019-08-01,2019-07-01,2
12383,4,42,1,2939,146.95,0,36521,M,New York,32,2019-08-24,GGOEGOCL077699,Google Hard Cover Journal,Notebooks & Journals,1,11,6.00,Used,0.05,2500,2168,NJ20,20.00,2019-08-01,2019-07-01,2
12383,4,42,1,2939,146.95,0,36523,M,New York,32,2019-08-24,GGOEGOCC077299,Google RFID Journal,Notebooks & Journals,1,6,6.00,Clicked,0.05,2500,2168,NJ20,20.00,2019-08-01,2019-07-01,2
12383,4,42,1,2939,146.95,0,32636,M,New York,32,2019-07-14,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1,119,12.99,Clicked,0.10,2500,2064,ELEC10,10.00,2019-07-01,2019-07-01,1
12383,4,42,1,2939,146.95,0,32638,M,New York,32,2019-07-14,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,149,6.00,Clicked,0.10,2500,2064,ELEC10,10.00,2019-07-01,2019-07-01,1
12383,4,42,1,2939,146.95,0,32639,M,New York,32,2019-07-14,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,149,6.00,Clicked,0.10,2500,2064,ELEC10,10.00,2019-07-01,2019-07-01,1
12383,4,42,1,2939,146.95,0,32643,M,New York,32,2019-07-14,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1,119,6.00,Used,0.10,2500,2064,ELEC10,10.00,2019-07-01,2019-07-01,1
12383,4,42,1,2939,146.95,0,32619,M,New York,32,2019-07-13,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,1,119,6.00,Clicked,0.10,2500,2489,ELEC10,10.00,2019-07-01,2019-07-01,1
12383,4,42,1,2939,146.95,0,32621,M,New York,32,2019-07-13,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,1,119,6.00,Clicked,0.10,2500,2489,ELEC10,10.00,2019-07-01,2019-07-01,1
12383,4,42,1,2939,146.95,0,32622,M,New York,32,2019-07-13,GGOENEBQ084699,Nest Learning Thermostat 3rd Gen-USA - White,Nest-USA,1,149,6.00,Clicked,0.10,2500,2489,ELEC10,10.00,2019-07-01,2019-07-01,1
12383,4,42,1,2939,146.95,0,32624,M,New York,32,2019-07-13,GGOENEBQ079099,Nest Protect Smoke + CO White Battery Alarm-USA,Nest-USA,2,79,6.00,Used,0.10,2500,2489,ELEC10,10.00,2019-07-01,2019-07-01,1
12383,4,42,1,2939,146.95,0,32626,M,New York,32,2019-07-13,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,1,119,6.00,Not Used,0.10,2500,2489,ELEC10,10.00,2019-07-01,2019-07-01,1
12383,4,42,1,2939,146.95,0,32627,M,New York,32,2019-07-13,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,1,119,19.99,Clicked,0.10,2500,2489,ELEC10,10.00,2019-07-01,2019-07-01,1
12383,4,42,1,2939,146.95,0,32628,M,New York,32,2019-07-13,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1,119,6.00,Clicked,0.10,2500,2489,ELEC10,10.00,2019-07-01,2019-07-01,1
12383,4,42,1,2939,146.95,0,32629,M,New York,32,2019-07-13,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,5,119,6.00,Used,0.10,2500,2489,ELEC10,10.00,2019-07-01,2019-07-01,1
12383,4,42,1,2939,146.95,0,32625,M,New York,32,2019-07-13,GGOEGOLC014299,Google Metallic Notebook Set,Office,90,4,21.92,Clicked,0.10,2500,2489,OFF10,10.00,2019-07-01,2019-07-01,1
12383,4,42,1,2939,146.95,0,32634,M,New York,32,2019-07-14,GGOEGATB060613,Google Women's Convertible Vest-Jacket Black,Apparel,1,23,6.00,Not Used,0.18,2500,2064,SALE10,10.00,2019-07-01,2019-07-01,1
12383,4,42,1,2939,146.95,0,32640,M,New York,32,2019-07-14,GGOEGAFB035814,Google Men's  Zip Hoodie,Apparel,1,44,6.00,Clicked,0.18,2500,2064,SALE10,10.00,2019-07-01,2019-07-01,1
12383,4,42,1,2939,146.95,0,32642,M,New York,32,2019-07-14,GGOEGAAJ059115,Google Men's Short Sleeve Performance Badge Tee Pewter,Apparel,3,8,6.00,Clicked,0.18,2500,2064,SALE10,10.00,2019-07-01,2019-07-01,1
12383,4,42,1,2939,146.95,0,32617,M,New York,32,2019-07-13,GGOEGAAB033814,Google Men's Vintage Badge Tee Black,Apparel,1,7,6.00,Not Used,0.18,2500,2489,SALE10,10.00,2019-07-01,2019-07-01,1
12383,4,42,1,2939,146.95,0,32620,M,New York,32,2019-07-13,GGOEGALQ036613,Google Women's Scoop Neck Tee White,Apparel,1,6,6.00,Clicked,0.18,2500,2489,SALE10,10.00,2019-07-01,2019-07-01,1
12383,4,42,1,2939,146.95,0,32641,M,New York,32,2019-07-14,GGOEGBMB073799,Google Zipper-front Sports Bag,Bags,1,11,6.00,Used,0.18,2500,2064,AIO10,10.00,2019-07-01,2019-07-01,1
12383,4,42,1,2939,146.95,0,32644,M,New York,32,2019-07-14,GGOEGBRP037599,Yoga Mat Purple,Lifestyle,1,9,6.00,Used,0.18,2500,2064,EXTRA10,10.00,2019-07-01,2019-07-01,1
12383,4,42,1,2939,146.95,0,32633,M,New York,32,2019-07-14,GGOEGOCD078399,Google Leather Perforated Journal,Notebooks & Journals,1,13,6.00,Clicked,0.05,2500,2064,NJ10,10.00,2019-07-01,2019-07-01,1
12383,4,42,1,2939,146.95,0,32635,M,New York,32,2019-07-14,GGOEGOCC077299,Google RFID Journal,Notebooks & Journals,4,4,6.00,Used,0.05,2500,2064,NJ10,10.00,2019-07-01,2019-07-01,1
12386,31,123,1,371,74.2,1,24207,M,California,38,2019-03-27,GGOENEBQ079099,Nest Protect Smoke + CO White Battery Alarm-USA,Nest-USA,2,79,6.50,Clicked,0.10,2000,2639,ELEC30,30.00,2019-03-01,2019-03-01,1
12386,31,123,1,371,74.2,1,24208,M,California,38,2019-03-27,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1,119,6.50,Used,0.10,2000,2639,ELEC30,30.00,2019-03-01,2019-03-01,1
12386,31,123,1,371,74.2,1,24205,M,California,38,2019-03-27,GGOEGADJ059714,Google Men's Quilted Insulated Vest Battleship Grey,Apparel,1,41,6.50,Used,0.18,2000,2639,SALE30,30.00,2019-03-01,2019-03-01,1
